Product ,unit for the price,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791
chocolade ,pond,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515,1.515
thee ,pond,1.155,1.298,1.43,1.452,1.331,1.331,1.166,1.111,1.144,1.144,1.012,1.177,1.221,1.1,0.99,0.913,0.979,0.825,0.902,1.089,1.199,1.441,1.738,1.298,0.847,0.836,0.748,0.77,0.682,0.594,0.594,0.561
koffie ,pond,0.308,0.308,0.363,0.33,0.297,0.308,0.253,0.253,0.275,0.264,0.264,0.275,0.253,0.253,0.253,0.253,0.253,0.308,0.363,0.385,0.363,0.44,0.451,0.253,0.253,0.264,0.275,0.286,0.308,0.319,0.363,0.418
witte poedersuiker ,pond,0.55,0.506,0.517,0.539,0.594,0.66,0.528,0.539,0.671,0.704,0.682,0.649,0.594,0.583,0.528,0.429,0.418,0.473,0.495,0.517,0.462,0.715,0.66,0.66,0.583,0.55,0.528,0.704,0.737,0.748,0.77,0.748
wijnazijn ,aam,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
bierazijn ,aam,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gezouten haring ,ton,22.4,25.2,22.4,23.8,25.2,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4
verse zalm ,stuk,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
erwten ,last,219.375,219.375,219.375,219.375,219.375,219.375,219.375,219.375,234,238.875,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75,243.75
bonen ,last,327.51,327.51,272.9,327.51,327.51,327.51,327.51,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9,272.9
wit zout ,viertel,6.75,6.8,8.1,9.625,6.45,13.75,13.475,11.1,11.675,12,10.725,9.6,9.6,10.1,10.1,10.1,10.1,11.125,11.125,10.6,13.425,12.35,14.15,11.25,12,12.75,12.45,12.15,12.15,12.5,12.5,12.5
turf ,"ton tot 1764, last daarna",45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Ruwe zijde ,pond,9.7,12.2,11.5,11.5,12.6,12.5,14.6,13.6,13.8,12.8,14,14.3,14,15.4,16.6,17.5,19.6,19,16.3,15.7,15.7,15.7,15.46,15.34,15.22,15.1,15.1,15.1,15.1,15.1,15.1,15.1
Zwavel en zwavellonten ,pond,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.06281,0.0605,0.0616,0.066,0.066,0.06512,0.06325,0.06325,0.06325,0.0671,0.0715,0.08844,0.0935,0.10362,0.1045,0.0935,0.0935,0.0935,0.08613,0.0825,0.09262,0.0935,0.0825,0.0825
wijnsteen ,pond,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
plaaster ,pond,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
