Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
vlechtwerk in hazelaar (mandriers),broom sticks,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
snuisterijen,oars,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kleinigheden,wooden mills,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kunstbloemen,wooden heels,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
meubelen,ladders,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
mosterd,cork stopper,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
matten (gewone voor verpakking),cartboard boxes,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kleding en klein huislinnen,paper bags and bonnets,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
klein huislinnen,paper (glued),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
borduurwerk en klein huislinnen,gilded leather,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kledij voor vrouwen,Russia leather,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
allerlei versieringen,copper wire,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
vlasgaren,gilded copperware,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kokosnoten,copper engravings,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
kerksieraden,worked iron,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
gereedschappen voor ambachtslui,iron wire,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
zadelmakerswerk,bronze ware,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
porselein,lead (in bricks),Brabantse gulden,,1759-1791,"RvF, 5748-5805",
plaasteren beeldjes,worked tin,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
wassen beelden,tin-plate,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
passement (gemengd),worked metal,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
gebak,silver filings,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
marmer (à jouer),silver knives,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
stenen (bewerkt in beelden),nails,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
afbraakmateriaal,flax yarn,Brabantse gulden,,1759-1791,"RvF, 5748-5805",
zeep (ballen of stukken) en pommade,mending,Brabantse gulden,,1759-1792,"RvF, 5748-5806",
zand,yarn from goat wool,Brabantse gulden,,1759-1793,"RvF, 5748-5807",
zaden (gemengd),white cotton fabrics,Brabantse gulden,,1759-1794,"RvF, 5748-5808",
siroop en vruchtensap,printed cotton fabrics,Brabantse gulden,,1759-1795,"RvF, 5748-5809",
schoorsteenzwart,quilted cotton,Brabantse gulden,,1759-1796,"RvF, 5748-5810",
tapijtwerk,velveteen (cotton),Brabantse gulden,,1759-1797,"RvF, 5748-5811",
