1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
"lood (rollen, buizen ...)",,pond,"22329,00","22329,00",,"57758,00","57758,00",,"2360,00","2360,00",,"35429,00",,128,13881,,1033,443,,3428,,,,,,6512,,,538,,,57,,,880,900,,,,,2086,,,309,590,,150,,,9,219,,34,334,2,,553,25,"74,5",38938,,,,,"1587,5",642,230,4291,,843,1212,1058,1160,,200,100
lood (kogels en hagel),,pond,"5794,50","5794,50",,"4634,00","4634,00",,"4673,00","4673,00",,"-1160,50",,,,,125,,,56,,,,,,391,,,,,,108,,,12,,,,,,,,,,,,5,,,,24,,3,7,6,,26,,6,3867,5,,,,659,100,3997,"3460,5",600,515,294,,150,675,10,
lood (oud),,pond,"3374,00","3374,00",,"0,00","0,00",,"0,00","0,00",,"-3374,00",,,,,,,,,,,655,,,,,,25,,,535,,,,,,,,,1909,,,50,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,
schrijfveren,,aantal,"2769195,00","2769195,00",,"49548,00","49548,00",,"4000,00","4000,00",,"-2719647,00",,,3100,,600,3000,,60200,,,44000,,,2211300,,,209245,2000,,103200,,,89500,,,,11700,,1500,1000,,31400,,,,3000,,,6100,,4000,,4000,200,,,5200,16000,,,3600,,3700,,,1000,,,400,,,3750,48,
schrijfveren,,gulden,"258,00","258,00",,"38,00","38,00",,"0,00","0,00",,"-220,00",,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,2,,221,,,,,,,,,21,36,,,,,7,,,,,,,,,,,,,,
pluimen (dons),,pond,"79241,50","79241,50",,"949,00","949,00",,"773,00","773,00",,"-78292,50",,240,,,"119,5",,,5875,135,,6409,245,,31585,,,11181,,,9173,,,3670,,,150,,,7381,,,,,,"2117,5",78,,,,,,,,10,,,25,,,,,,884,461,398,"371,5",,375,,30,,50,,
pluimen (oude),,pond,"11691,00","11691,00",,"21,00","21,00",,"0,00","0,00",,"-11670,00",,,,,,,,,,,,,,,,,1660,,,625,,,,,,38,6,,,,,499,,,8603,,,6,,,,,,,,,,15,,160,,,,,,,,,,,,100,,
geitehaar,,pond,"26779,56","26779,56",,"3573,00","3573,00",,"21829,50","21829,50",,"-23206,56",,52,64,2040,,8,,1308,25,,575,380,,18142,,,2109,150,,941,,,1733,,,"6,0625",,,552,,,304,19,,"1,5",2767,,,,,,12,"40,5",,,,"2,125","16,5",,,12,,"133,125",,4,10,21,19745,"99,75",,,811,"98,5",
haze- en konijnehaar,,pond,"288,00","288,00",,"6364,00","6364,00",,"0,00","0,00",,"6076,00",,,3205,,15,,,35,22,,,3104,,108,,,,,,,,,,,,,,,,,,,25,,,,,130,,,,,,,,,,,,,8,,,,,,,,,,,,,
koeiehaar,,pond,"45769,00","45769,00",,"27129,50","27179,50",,"22591,00","22591,00",,"-18639,50",,,1577,,,,,598,,,,,,,,,,125,,,,,,,,330,,,,,,,2700,200,3820,,,1550,,,5450,130,4260,3413,70,80,2750,"7871,5",11401,3812,1921,,,,,,,1270,12,330,,24034,12455,5380
varkenshaar (borstels),,pond,"33032,50","33032,50",,"4443,00","4443,00",,"10,00","10,00",,"-28589,50",,,396,,,,,845,,,25,,,18750,,,4090,3927,,"1591,5",,,6465,50,,350,,,600,,,78,,,200,,,,,,,,,,2,,30,2,,8,26,,,,,,,10,,,,,40,
"karper, snoek, brasem e.a.",,aantal,"8680,00","8680,00",,"15495,00","15495,00",,"1550,00","1550,00",,"6815,00",,,,,9,,,5110,,,,,,,,,,,,,,,,,,,417,,238,,,,8492,,,1401,,1206,2860,,42,699,,6,2,,1781,206,350,288,1368,,,50,1200,,,,,,,,,
forel en paling,,pond,"2494,00","2494,00",,"30246,00","30246,00",,"128615,50","128615,50",,"27752,00",,,,,10,,,365,,,,,,,,,47,,,,,,,,,,2740,,904,,,23,20780,,,467,,601,,,,2020,432,"31,5",,225,266,100,"9,5","99,5",,,30,2712,230,,,15,8,1227,,109,200,127704
riviervis (kleine),,emmers,"60,21","60,21",,"190,00","190,00",,"0,50","0,50",,"129,79",,,,,,,,,,,,,,,,,"0,5",1,,,,,,,,,40,,2,,,,,,"8,125",19,,"24,3333333333",28,,,,,"1,5",,,"23,75",2,"0,5",,100,,,,,,,,,,,,,
verse vis,,manden,"0,00","0,00",,"716,00","716,00",,"0,00","0,00",,"716,00",,,,,,,,,,,,,,,,,,704,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verse vis,,gulden,"118428,00","118428,00",,"4178,00","4178,00",,"394,00","394,00",,"-114250,00",,,2462,,331,404,,1509,26,,594,511,,72897,,,25781,80,,8578,,,1881,,,479,328,,1100,3,,,,,584,238,,27,29,,3,,,,,,453,14,45,3420,1,,2,12,,1,,23,536,70,314,252,,12
kabeljauw,,aantal,"1261,50","1261,50",,"1754,50","1754,50",,"0,00","0,00",,"493,00",,,722,,,,,304,,,,783,,,,,,,,2,,,,,,55,,,633,10,,,202,,3,11,,,"9,5",,,,,,7,,2,10,,262,,,,,,,,,,,,"0,5",,
steur,,aantal,"11,00","11,00",,"248,25","248,25",,"0,00","0,00",,"237,25",,,"23,25",,,,,,,,5,104,,,,,5,117,,,,,,,,,,,1,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heilbot,,aantal,"150,50","150,50",,"114,00","114,00",,"0,00","0,00",,"-36,50",,,53,,,,,6,,,,44,,,,,,,,,,,,,,"21,5",,,77,,,,12,,1,2,,,2,,,,,,,,,1,,45,,,,,,,,,,,,,,
tarbot,,aantal,"104,00","104,00",,"64,00","64,00",,"0,00","0,00",,"-40,00",,,8,,,,,7,,,33,13,,,,,,,,,33,,,,,8,,,7,3,,,7,,17,,,1,,,,,,,,,,,,31,,,,,,,,,,,,,,
zalm (verse),,aantal,"621,00","621,00",,"2799,00","2799,00",,"10,00","10,00",,"2178,00",,,111,,,,,101,,,263,1643,,,,,,995,,,,,,,,5,,,1,32,,,,,,12,,,2,,3,,5,4,3,,242,1,5,2,,,,,,,,,,,,,,
zeeduivel,,manden,"88,55","88,55",,"70,58","70,58",,"0,00","0,00",,"-17,97",,,"69,625",,,,,4,,,,,,,,,,,,,,,,,,"0,5",,,"13,05",,,,,,17,,,,"0,65",,,,,,,,,"0,3",,54,,,,,,,,,,,,,,
rog,,manden,"199,08","199,08",,"169,35","169,38",,"0,20","0,20",,"-29,73",,,89,,,,,"0,5",,,2,"24,125",,,,,,,,,45,,,,,"1,25",,,"51,5",,,,1,,"73,35",,,"1,225",4,,,"0,175","0,2",,"4,9",,,"1,175",,"69,25",,,,,,,,,,,,,,
wijting,,manden,"579,10","579,10",,"0,00","0,00",,"0,00","0,00",,"-579,10",,,,,,,,,,,,,,,,,,,,,,,,,,"37,5",,,,,,,,,"275,8",,,,,,,,,,,,,,,"265,8",,,,,,,,,,,,,,
schelvis,,manden,"398,57","398,57",,"98,12","98,12",,"0,00","0,00",,"-300,45",,,20,,,,,,,,,78,,,,,,,,,,,,,,"88,6666666667",,,"175,2",,,,,,"9,5",,,,,,,,,,,,,"0,12",,"125,2",,,,,,,,,,,,,,
schol,,manden,"189,55","189,55",,"733,60","733,60",,"0,00","0,00",,"544,05",,,"89,5",,,,,,,,,"144,5",,,,,,280,,,112,,,,,"18,5",,,94,90,,,8,,11,,,"0,05","6,1",,,,,,"0,5",,,3,,66,,,,,,,,,,,,,,
quarlais ou bottes,,'wieges',"73,75","73,75",,"0,00","0,00",,"0,00","0,00",,"-73,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,625",,,,,,"19,5",,,,,,,,,,,,,,,"53,625",,,,,,,,,,,,,,
molenaar (zeevis),,'wieges',"54,06","54,06",,"0,00","0,00",,"0,00","0,00",,"-54,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,0625",,,,,,,,,,,,,,
spiering,,manden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tong,,'couples',"1063,00","1063,00",,"198,50","198,50",,"0,00","0,00",,"-864,50",,,1,,,,,,,,,,,,,,,,,,101,,,,,241,18,,,,,,70,,190,,,4,5,,,,,,"3,5",,,,,628,,,,,,,,,,,,,,
oesters,,ton,"3510,88","3510,88",,"232,02","232,02",,"0,00","0,00",,"-3278,86",,,"115,1",,,,,,"0,8125",,"0,125","76,8125",,,,,,"3,5833333333",,,"0,5",,3510,,,,"0,125",,,,,,"4,5",,,25,,,"2,6666666667",,,,,,"0,25",,,"2,1666666667",,,,,,,,,,,,,,"0,75","0,5",
mosselen,,ton,"17567,50","17567,50",,"1423,38","1423,38",,"0,00","0,00",,"-16144,12",,,"181,75",,,"19,5",,3,45,,6,"77,875",,15464,,,566,"1003,5",,,,,,,,"2,75",,,1418,,,,4,,14,,,,"23,25",,,1,,,"18,25",,,"49,25",,"93,75",,,,,,,,,,,,,,
zeekreeften,,aantal,"144845,00","144845,00",,"9937,00","9937,00",,"6,00","6,00",,"-134908,00",,,724,,,,,,,,,1560,,135350,,,7452,782,,,6418,,,,,26,,,1972,,,,200,,10,150,,,71,,,,,,20,,,6,,22,,,,,,,,,,,,13,6,6
rivierkreeften,,aantal,"10425,00","10425,00",,"67820,00","67820,00",,"24200,00","24200,00",,"57395,00",,,,,2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1150,400,,,,,,,,,,,70,,1000,62300,21950,4900,4000,1800,300,300,50
rivierkreeften,,manden,"44,88","44,88",,"0,17","0,17",,"0,67","0,67",,"-44,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,25",,,"26,5416666667",,,,,,"3,375",,,"9,5833333333","0,1666666667","0,6666666667","4,125",,,,,,,,,,,,,,
kabeljauw (gezouten),,ton,"11308,03","11307,78",,"288,70","288,48",,"1786,38","1786,37",,"-11019,33",,16,"94,3541666667",40,,"2,65",,"127,0833333333","0,5416666667",,"0,0833333333","1,2916666667",,"6668,0416666667",,"951,875","2766,625",20,,"640,75","9,25",,"791,5",1,,"197,375",,,"10,875",,,,"0,3",,,63,,,"28,1458333333",,,"14,875","17,25",,"4,8","2,1",,"19,625","0,0625",,"12,5",,"15,5208333333","9,15","474,5","34,1666666667",7,"132,75","31,0625",,"167,3333333333","8,7",,"0,5"
zalm (gezouten),,ton,"1169,92","1169,92",,"20,63","20,63",,"5,75","5,75",,"-1149,29",,,"16,4791666667",,,"1,025",,"2,75",,,,,,"713,5",,4,"310,5416666667",,,"132,375",,,"5,125",,,4,,,,,,,,,,"1,125",,,,,,,,,"0,625",,,"0,125",,,"1,25",,"0,125",,"0,625",,,,"1,5",,,,,"1,125"
kibbeling (gezouten),,ton,"222,92","222,92",,"2,50","2,50",,"0,00","0,00",,"-220,42",,,,,,,,,,,,,,13,,,"7,25",,,16,,,"145,0416666667","2,5",,"41,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steur (gezouten),,ton,"0,00","0,00",,"3,00","3,00",,"0,00","0,00",,"3,00",,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heilbot (gezouten),,ton,"367,50","367,50",,"0,00","0,00",,"0,00","0,00",,"-367,50",,,,,,,,1,,,,,,290,,,"59,5",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schelvis (gezouten),,ton,"126,00","126,00",,"0,00","0,00",,"1,00","1,00",,"-126,00",,,,,,,,"0,25",,,,,,"77,5",,,"30,375",,,11,,,"6,5",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"0,375",,
haring (gezouten),,ton,"344,38","344,38",,"953,57","953,95",,"270,13","270,13",,"609,19",,,47,,,"4,625",,"0,6666666667",,,"32,25","0,125",,,,,,"0,6666666667",,47,"1,125",,,,,,,,"3,25",,,,,,,"0,625",,,"12,0625",,,"0,175","15,25",,"837,5",,,29,,"0,1",,,159,"19,5","139,5833333333",38,"1,5","66,0833333333","31,3125",,"41,7083333333","32,8","0,05","7,5"
haring van de nationale visvangst (gezouten),,ton,"3575,50","3575,50",,"0,00","0,00",,"0,00","0,00",,"-3575,50",,,,,,,,,,,,,,,,,,,,,,,,,,"3575,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haring (gerookt),,ton,"1484,45","1484,44",,"24,07","24,07",,"21,22","21,22",,"-1460,38",,,"6,25",,,,,,,,,,,"739,65",,6,"336,2",,,,,,"246,15",,,"4,6",,,"36,3333333333",,,,,,,,,,"0,85",,,,"0,5",,"0,25",,"0,1","0,6666666667","0,375",,,,,1,,"49,625","3,75","8,8333333333","7,0833333333",,"5,2083333333","64,7","11,3","0,3"
ansjovis,,ton,"1495,38","1495,38",,"125,83","125,83",,"8,00","8,00",,"-1369,55",,"0,6666666667","24,5",8,,"9,25",,,"2,5",,,"84,4583333333",,"995,8333333333",,,"2,1666666667",2,,128,,,"224,6666666667",,,"36,1666666667",,,"64,875","0,125",,20,,,,,,8,1,,,,,2,1,,1,,,"11,5",,,,,,,,,,1,,"0,5",,
stokvis en bakeljauw,,pond,"1943577,50","1943577,50",,"37410,00","37410,00",,"242060,00","242060,00",,"-1906167,50",,3421,24732,3377,,1669,,24000,50,,1601309,89,,132769,,222187,116702,80,,18770,,,"1699,5",,,1987,,,,,,,,,,7,,,1486,,,12,,2,2148,100,19,3580,930,,,,19558,124,12039,7177,,1247,5732,,350,10432,3433,1830
krabben en zeeslakken,,ton,"133,25","133,25",,"6,25","6,25",,"0,00","0,00",,"-127,00",,,2,,,,,"0,75","3,5",,,"0,75",,,,,"84,5",,,,,,,,,,,,"47,5",,,,,,,,,,,,,,,,,,"0,25",,,"0,25",,,,,,,,,,,,,,
garnalen,,manden,"12,83","12,83",,"26,00","26,00",,"0,00","0,00",,"13,17",,,,,,,,,,,,,,,,,,,,,,,,,,"4,2083333333",26,,,,,,,,,,,,,,,,,,,,,,,"8,625",,,,,,,,,,,,,,
zalm (gerookt),,aantal,"532,75","532,75",,"35,00","35,00",,"2,00","2,00",,"-497,75",,,1,,,,,"48,25",,,2,32,,417,,,"44,5",,,9,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
vis (gesmoord of in saus),,pond,"548,50","548,50",,"260,00","260,00",,"0,00","0,00",,"-288,50",,,70,,,,,125,,,40,170,,174,,,40,,,30,,,120,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,"19,5",,
schol (gerookt),,pond,"338730,00","338730,00",,"776,00","776,00",,"0,00","0,00",,"-337954,00",,,,,,24,,1118,,,,188,,52515,,,250344,,,32502,,,32,,,212,,,2007,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pek, teer e.a.",,ton,"5512,63","5512,63",,"363,50","363,50",,"23,08","23,08",,"-5149,13",,,"261,25",,1,40,,9,"2,25",,25,19,,"3419,5",,,"480,625",,,44,,,1110,,,"133,25",,,29,,,,,,,,,2,,,,,"2,5",,,,,37,2,"0,125",,,"154,25",,10,"92,25",4,7,6,,,"6,625",,"1,5833333333"
hars,,pond,"107216,00","107216,00",,"23352,00","23352,00",,"3126,00","3126,00",,"-83864,00",,,19102,,126,100,,,150,,,2295,,56214,,,2970,,,26676,,,550,,,825,,,,,,,,,,,,,20,,,200,162,,157,,,903,,1000,,,4310,425,476,"12055,5",,2260,"1902,5",,98,587,,130
zeep (ballen of stukken) en pommade,,gulden,"1637,00","1637,00",,"117,00","117,00",,"75,00","75,00",,"-1520,00",,664,80,75,16,,,,,,,,,,,,,,,107,,,177,30,,,,,,3,,129,,,413,,,40,4,,,,,,,,11,,,66,,,,,,,,,,,,14,,
koper (met tin of lood : ruw),,pond,"395428,00","395428,00",,"40581,00","40581,00",,"319825,00","319825,00",,"-354847,00",,,,,,,,,,,,,,40970,,,2234,,,,,,245500,,,40014,,,,,,,,,2925,13726,,40,,,150,,,350,16255,,9700,,18000,1235,700,,160,7500,3960,52050,800,297865,100,1600,,,,
koper (met tin of lood : gezuiverd),,pond,"1474,00","1474,00",,"8870,00","8870,00",,"0,00","0,00",,"7396,00",,,6523,,,,,,,,,29,,774,,,700,,,,,,,,,,,,,,,,2118,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,
ijzerwaren (ijzer en staal),,pond,"257559,75","257559,75",,"15489,13","15489,13",,"489202,50","489202,50",,"-242070,62",,256,928,78811,"142682,5",167,"39319,5","32316,625",83,1233,"121,25",17,,"189,5",,,178,23,,12345,,,"11492,25",,50,,,,2,,,"6102,5",,,8928,240,,3890,553,,242,80,492,263,4323,"2,5","10967,5",7919,1234,"1427,75",80,,7114,901,23307,15700,,"328997,5","2249,5",11,15601,"1092,375","164,125",155
ijzerwaren (wapens en oud ijzerwerk),,pond,"0,00","0,00",,"0,00","0,00",,"87829,00","87829,00",,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87829,,,
ijzerwaren (ijzer en staal),,gulden,"2976,00","2976,00",,"16,00","16,00",,"270,00","270,00",,"-2960,00",optelfout verbeterd,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,1040,16,270,1502,,,,,
ijzerwaren (koper),,pond,"12255,75","12255,75",,"36,50","36,50",,"1797,00","1797,00",,"-12219,25",,77,,150,28,,,"6830,25",,1647,"795,5",36,,,,,256,,,3296,,,,,,,,,,,,"209,25",,,"541,75",,,100,,,50,,,,,,,,,62,,,,,,,,,,,,10,"0,5",
netten (visvangst en jacht),,pond,"16066,00","16066,00",,"30760,00","30760,00",,"0,00","0,00",,"14694,00",,,,,,,,30,,,,,,,,,6,,,45,,,575,27460,,15380,3300,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snippers van kaarten en papier,,pond,"230,00","230,00",,"18487,00","18487,00",,"2800,00","2800,00",,"18257,00",,,11712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4405,,,,,,,,,,,,2320,2800,,50,,230,,,,,,,,,,,
afval van leder en huiden,,pond,"3107,00","3107,00",,"3988,50","3988,50",,"2165,00","2165,00",,"881,50",,,1150,,7,2225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,5",,,,70,,,,,565,1135,,,60,,,,3100,,,,,,,,900
afval van leder en huiden,,gulden,"315,00","315,00",,"162,00","162,00",,"30,00","30,00",,"-153,00",,,,,21,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,42,,,,,7,,,,250,,23,2,,,,,,,,,,,,,,
afval van hoorn en perkament,,pond,"744,00","744,00",,"160,00","160,00",,"0,00","0,00",,"-584,00",,,,,,,,,,,,,,,,,,,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,
afval van walvissen,,pond,"210,00","210,00",,"0,00","0,00",,"0,00","0,00",,"-210,00",,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riet (spaans),,bos,"727,50","727,50",,"245,50","245,50",,"0,00","0,00",,"-482,00",,,,,,,,,"15,5",,,4,,10,,,122,168,,144,,,444,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,5",,
afval van blik,,gulden,"48,00","48,00",,"0,00","0,00",,"0,00","0,00",,"-48,00",,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zand,,gulden,"148,00","148,00",,"690,00","690,00",,"1,00","1,00",,"542,00",,,183,,,1,,58,,,,,,28,,,,31,,,31,,,,,,,,,,,12,310,,,5,,,80,,,10,,,,,,19,,46,,,4,20,,,,1,,,,,,
buikriemen,,gulden,"444,00","444,00",,"41,00","41,00",,"16,00","16,00",,"-403,00",,,,,131,4,,6,,,,,,,,,,,,,,,238,,,,,,,32,,,,,10,5,,,,,,,,,,,18,,,32,,,,,16,,,,,,,9,,
zeep (wit en gemarmerd),,pond,"165710,00","165710,00",,"6352,00","6352,00",,"17161,00","17161,00",,"-159358,00",,,6016,4879,74,5,,,,,,12,,9923,,,424,,,50461,2,6528,62102,50,320,7073,,,240,,,526,2,,"1,5",,,251,26,,,"14,5",348,,"101,5",,,119,,1506,,,"21948,5",4,234,"600,5",,610,1831,,2608,"8748,5",,1634
zeep (zwart),,ton,"121,42","121,42",,"718,21","718,58",,"302,75","302,75",,"596,79",,,246,,,"107,0416666667",,,"4,75",,,,,,,,,,,,,,,,,,,,,"3,75",,,,,"0,125","2,75",,6,"60,625",,,"1,875","215,25",,"141,0416666667","0,5","3,25","109,875",,,"0,375",,10,"13,75","0,5","38,9375","6,75","40,875","63,1041666667","10,5","38,875",,"9,5","6,75"
zout (wit),,viertel,"22222,17","22222,17",,"2995,40","2995,40",,"14763,96","14763,96",,"-19226,77",,866,"190,3125",11474,1,"47,25",,22,,,"14,125",,,"865,3333333333",,1200,,52,,,,,,,,"4247,25",,,"103,0833333333",,,2,,,1,,,,242,,,32,"479,75",,"2361,5",,"0,6666666667",49,,"0,125",,,8680,"2,2222222222","318,5","834,3333333333","3,5","475,125","4796,125","4,5","770,25","1789,125","11,1111111111","46,3333333333"
zout (grijs of grof),,viertel,"59316,88","59316,88",,"103,58","103,58",,"0,00","0,00",,"-59213,30",,,54,,1,"47,25",,,,,,,,,,,20052,,,,,,39262,,,"1,875",,,,,,,,,,,,,,,,"2,3333333333",,,,,,,,,,,,,,,,,,,,,,
"zaden (anijs, karwei, koriander e.a.)",,pond,"44615,50","44615,50",,"5372,00","5372,00",,"6089,00","6089,00",,"-39243,50",,,131,,10,,,75,,,,5220,,17991,,1575,5972,15,,2088,,,13934,,2100,"832,5",,,,,,2370,,,7,,,,6,,,,22,,,,,,,1146,,2000,150,,250,40,,142,,,,,,
zaden (kanarie-),,pond,"8572,00","8572,00",,"98,00","98,00",,"0,00","0,00",,"-8474,00",,,46,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,7870,,,52,,,,,,,,,,,,220,,,390,,,,,,,,,,,,40,,
zaden (tuin-),,pond,"15496,75","15496,75",,"6180,94","6181,00","6181,00","3857,00","3857,00",,"-9315,81","EHRV 111.94 <> 112, afgerond",29,1325,39,"126,375",147,,107,385,,73,3132,,1401,,,,118,,88,98,,26,12,,22,100,,,3,,"919,5",195,,889,,,"2881,625",21,,366,,3095,1632,28,81,472,37,41,83,250,,1417,99,151,1498,119,421,"2732,5",,29,"733,75",112,
zaden (mosterd-),,pond,"42184,00","42184,00",,"1784,00","1784,00",,"13314,00","13314,00",,"-40400,00",,8,138,,163,100,,"124,5",,,,,,16080,,,26,,,3763,,,2,,,100,,,615,,,13285,,120,100,525,,,675,,,,,,,,105,16,,7275,,13185,,10,,"1,5",,7,56,,,480,320,2
zaden (komijn),,pond,"2067,00","2067,00",,"73,00","73,00",,"220,00","220,00",,"-1994,00",,,23,,,,,,,,,,,1243,,,245,,,105,,,130,,,107,,,,,,180,,,57,,,,,,,,,,,,,,,,,,,,,,50,220,,,,,,
zaden (de oliette),,pond,"3469,00","3469,00",,"31,00","31,00",,"180,00","180,00",,"-3438,00",,100,31,,,,,,,,,,,2087,,,212,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,50,,180,,,,,,,,,,,,
zaden (klaver-),,pond,"111221,00","111221,00",,"314576,00","314576,00",,"1255,00","1255,00",,"203355,00",,20,302,,,1044,,11665,100,,3020,72380,,6350,,,25,2746,,19155,84052,,,123173,,,,,6713,25658,,19761,2799,,29364,70,,10274,124,,2515,180,580,155,257,380,280,465,145,625,295,,,100,150,130,6,,155,,,1014,825,
zaden (klavergras),,pond,"725,00","725,00",,"50,00","50,00",,"20,00","20,00",,"-675,00",,,,,,,,,,,,,,,,,,,,725,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,20,,,,,,,,,,,,,,,
zaden (koolzaat),,last,"25,83","25,90",,"3,17","3,17",,"10,32","10,32",,"-22,66",,,,,"16,3125",,,"0,0588235294",,,,,,"0,0333333333",,,,,,"0,125",,,,,,,,,,,,"4,4166666667",,,"0,5",,,"3,6",,,,,,,,,,,,"0,8",,"10,1",,,,,,,,,,"0,0555555556","3,1666666667","0,2222222222"
zaden (hennep),,last,"18,11","18,11",,"21,00","20,94",,"0,63","0,63",,"2,89",,,,,"1,1875","11,5",,,,,,,,,,,,,,,,,,,,,,,,"1,875",,,,,,,,,"0,45",,,,"0,0625",,"0,125",,"0,0833333333","0,125",,,,,"12,5","1,5",,,"5,0833333333","0,5714285714","4,2142857143","0,2857142857",,"0,125",,
zaden (lijnzaad voor olie),,last,"185,03","185,10",,"4,50","4,75",,"32,60","32,60",,"-180,53",,,,,"1,25","0,0208333333",,,,,"0,1333333333","1,3333333333",,,,,4,,,"80,5",,"5,6666666667",,,,"3,25",,,"16,6666666667","0,2142857143",,"31,0833333333","0,4444444444","0,3333333333","27,2083333333","0,5",,"0,8","0,0333333333",,"0,1333333333",,,"0,40625",,,,,,"19,6666666667","2,2","26,6",,,,,,,,,,,,
zaden (lijnzaad voor het inzaaien),,ton,"10597,42","10597,42",,"227,88","227,88",,"0,20","0,20",,"-10369,54",,,,,,,,,,,3,"8,625",,"6376,5",,,982,160,,1715,,,1191,,,"2,25",,,74,,,76,"12,75",,150,2,,5,"0,375",,"4,6666666667",,"0,2",,,,,,,18,"44,125",,,,,,,,,,,,,
zaden (raap-),,last,"3,64","3,64",,"10,77","10,76",,"0,51","0,51",,"7,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0416666667",,,,,,,,,,,"0,0125","0,09375",,,,,,,,,,"0,5714285714",,,,,,"0,0178571429",,"3,5","10,1666666667","0,5"
zaden (gemengd),,gulden,"9,00","9,00",,"64,00","64,00",,"8,00","8,00",,"55,00",,,12,,7,30,,,10,,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
zaden (denne-),,pond,"10511,00","10511,50",,"264,00","264,00",,"0,00","0,00",,"-10247,00",folio 128 recto in 5777,,,,,,,"8892,5",264,,,,,1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
