Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
planken (beukehout),planches communes d'hêtre,voet,12,10520,280063,26100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470,0,0,150,0,0,0,0,0,0,0,40,62966,0,100,182782,15875,0,3699,0,9930,24696,1075,450,2300,9150
wagenschot (lange eiken planken),wagheschot scié en planches,aantal,12,330,84,11,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,75,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,69,10,0,9,1,0,0,0
pijphout,piphout scié en planches,aantal,12,7,443,10,0,260,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,165,10,0,1,0,0,0,0
vathout,wathout en bloc,aantal,12,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klaphout (kleine eiken planken),vathout scié en planches,aantal,12,3553,3195,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,1300,2400,0,0,0,0,50,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,3,229,5,0,163,0,200,0,0
duigen voor vaten,clappes ou douves à barils,aantal,13,205314,383403,21693,0,2260,0,350,60,0,0,0,0,0,0,0,0,0,0,0,1268,0,2000,0,0,0,800,0,55,0,0,90000,0,0,75,0,560,120,0,0,0,2500,0,0,13000,0,845,234100,12200,91090,300,0,18310,6775,1000,150,21919,2450,1222,99624,0,200,197,33,897,600,5450
duigen voor vaten,clappes ou douves à barils,last,13,0,0,"568,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,"4,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wagenassen,essieux,aantal,13,25,959,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,0,5,161,0,5,589,0,0,82,0,0,62,0,15,35,0
wielnaven,moyeux,aantal,13,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,38,0,0,25,0,0,0,0,0,0,0,0,0,0
velgen,jantes,aantal,13,722,26501,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1705,0,160,100,0,110,6202,0,180,16498,0,0,1729,0,272,210,0,0,50,3780
spaken,rais,aantal,13,650,22075,2600,0,0,0,0,0,0,0,0,0,0,2725,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,200,0,0,300,0,0,0,0,0,0,0,0,6700,100,40,10178,0,0,1252,0,610,0,0,0,0,2500
wielen (nieuw),roues neuves,paar,13,12,"77,5",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,3,"33,5",2,1,10,0,2,12,0,4,3,0
werres (klein hout ?),bois dit werres,aantal,13,0,47199,51130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,43912,0,46440,132,0,0,0,0,54,0,0,0,7086
"masten (den, 12 tot 14 palmen en meer)",mast de sapin de 12 à 14 paumes,aantal,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"masten (den, 8 tot 12 palmen)",mats de sapin de 8 à 12 paumes,aantal,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
