Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
linen (striped),toile de lin rayée,lijnwaad (gestreept),pieces,300,1100,54,"701,5","100,25",61,150,19,"28,5",156,64,34,392,...,...,...,0,47,0,0,"37,75",0,0,609,0,0,"257,5",0,1,98,0,0,"13,5",0,0,6,25,0,104,"3,5",1,80,59,0,"57,5",20,0,5,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen (striped),toile de lin rayée,lijnwaad (gestreept),ell,40246,332,35431,51938,24471,56975,6008,10943,140457,2276,16277,266674,"6569,5",...,...,...,"10362,25","19875,5",2254,"6866,5",77062,8663,"24770,5","5852,5",0,"7483,5",13843,472,"16450,5",976,2284,1162,1101,13028,"1100,5","572,5",6076,"8815,5",2630,12316,"1216,5","22190,5",8610,495,471,10314,379,4054,16220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen (striped) per ell,toile de lin rayée,lijnwaad (gestreept) / el,guilders,...,...,15040,31079,9281,33700,3133,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen (striped and dyed),toile de lin rayée et teinte,lijnwaad (gestreept en geverfd),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,12,"202,75",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen (striped and dyed),toile de lin rayée et teinte,lijnwaad (gestreept en geverfd),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,"36333,75",278784,9384,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
dyed linen cloth,toile de lin teinte,lijnwaad (geverfd),pieces,...,...,0,"63,5",106,"59,25",1207,"43,25","1055,5",0,519,"449,25",6,...,...,...,5,1031,"20,25",4,"3425,5",0,359,"1596,25","7,75",5,227,150,17,875,0,"1474,25","1361,5",10,0,"610,75",0,0,"554,75",0,0,37,0,0,"1059,83",189,0,28,0,9,"170,75",0,0,"134,25",0,0,"471,25",151,3,"469,83",0,13,"389,25",603,44,415,331,484,1952,0,"44203,75",304246,"17107,75",289,641,0,2,"777,5",20,0,"562,75",42,9,"662,5",97,203,"1976,75",3311,39,"639,25","641,33","94,5","485,25",229,0,"2667,75",0
dyed linen cloth,toile de lin teinte,lijnwaad (geverfd),ell,...,...,80644,147455,21475,192209,3464,"136650,5","105355,5",11948,26716,"64570,33","5461,5",...,...,...,16376,"272409,5","11466,5",57709,"172184,5",7417,70846,"70113,25",2557,"38136,5","133063,5",1954,35302,"73648,5",136,"42819,5",175137,5335,"56184,75",156537,"8205,5","29269,5",170690,4200,"29706,5",147099,3186,"21314,5",54056,2875,37409,130981,62120,56627,"130331,5","279,5",38546,59965,703,"190162,25",97810,686,"39930,75",142588,8308,"47521,75","518079,75","2340,5",41768,984438,5391,16476,257106,11618,198,"330,75",339,43237,82137,3268,40269,108777,276,43219,83014,11869,"40316,5",82055,2960,46828,171413,5996,"13851,25",15569,307,"43386,5",19250,1674,57703,"33620,5",6850
dyed linen cloth per ell,toile de lin teinte,lijnwaad (geverfd) / el,guilders,...,...,38959,87333,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
nanking,toile de nanquin,nanking,pieces,...,...,...,...,12,0,0,18,76,0,300,4,0,0,134,4,1,54,2,0,105,0,0,18,499,1,24,760,3625,45,2,0,35,400,0,6,1000,54,138,3200,106,219,75,199,183,1716,60,341,12162,"14,5",185,39975,20,85,16466,0,109,4803,0,185,30809,282,198,43060,60,25,31769,512,107,65003,2403,610,94623,3697,"230,5",44018,266,627,65321,2121,95,37455,3962,131,33805,1377,506,9157,1389,481,15054,197,"197,5",12857,201,119,"11611,5"
nanking,toile de nanquin,nanking,ell,...,...,352,0,140,50,40,17749,0,1679,2526,240,15,10670,570,18,7510,2274,0,1995,1836,0,3625,858,0,11124,35,0,"5708,25",304,1690,"16398,5",2720,1550,16563,493,0,"21011,5",113,40,19503,281,5171,7667,28,7,9310,410,"8607,5",10148,78,58715,14040,4,47131,8795,41,3508,"6018,5",6096,4210,"2741,5",0,5368,3066,0,1674,28950,0,1960,21067,53,6300,36559,608,5050,59388,41,14793,61496,63,10216,"85605,5",294,24399,26031,4136,53297,62583,8442,1040,62208,900,1505,117289,836,359
nanking,toile de nanquin,nanking,guilders,...,...,...,...,32,0,0,...,...,...,960,0,0,3760,140,12,...,...,...,...,...,...,...,...,...,7,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
nanking per ell,toile de nanquin,nanking / el,guilders,...,...,174,0,72,36,25,...,...,...,930,0,8,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Silesian linen,toile de Silesie,lijnwaad (silezië),pieces,...,...,0,205,0,97,389,1,"52,5",65,0,86,0,...,...,...,0,12,0,1685,6607,0,26,534,0,0,0,0,605,10,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Silesian linen,toile de Silesie,lijnwaad (silezië),ell,...,...,446,1459,25,9771,0,0,11204,0,75,4787,0,25,4137,0,0,521,0,0,2,0,0,5,0,0,0,0,0,4,0,0,0,86,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Silesian linen per ell,toile de Silesie,lijnwaad (silezië) / el,guilders,...,...,110,729,...,...,...,...,...,...,40,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"linen cloth (""drol"")",toile dite drol et drouel,lijnwaad (drol),pieces,0,"75,5",139,"4,5",0,8,0,0,5,0,0,"13,5",0,56,30,6,26,6,4,0,"156,75",0,0,"32,5",0,0,"287,5",0,18,"34,25",0,0,8,0,0,32,0,0,2,0,0,"1,5",0,0,"4,5",0,0,"1,5",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"linen cloth (""drol"")",toile dite drol et drouel,lijnwaad (drol),ell,120,55,1652,410,28,797,0,200,62,300,1592,93,0,478,0,98,0,1774,0,1399,1807,0,16215,5752,0,"5654,5",2790,0,"7735,5",1584,0,6845,2124,0,9949,2609,0,10110,1447,0,10579,1310,0,9145,2022,0,11933,2319,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"linen (rough, grey and slate blue)","toile écru, grise et ardoisée","lijnwaad (ruw, grijs en lei-blauw)",pieces,0,"96409,75",42,"29497,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen and cotton in bales,toile et coton en balles,lijnwaad en katoen door elkaar in balen aangegeven,pieces,...,...,...,...,...,...,...,...,...,...,0,0,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen and cotton in bales,toile et coton en balles,lijnwaad en katoen door elkaar in waarde aangeg.,guilders,...,...,...,...,...,...,...,...,...,...,0,0,40818,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen and cotton in bales,toile et coton en balles,lijnwaad en katoen door elkaar in balen aangegeven,bale,...,...,...,...,...,...,...,0,0,126,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen and cotton in bales,toile et coton en balles,lijnwaad en katoen door elkaar in el aangegeven,ell,...,...,...,...,...,...,...,5472,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric,toile pour ameublement,meubelstof,guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,975,5360,0,...,...,...,...,...,...,...,...,...,288,1084,0,0,1805,0,106,1709,0,0,916,0,0,202,0,0,0,0,0,438,0,80,446,0,163,307,0,21,358,0,43,381,0,0,16,0,0,130,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,100
upholstery fabric,toile pour ameublement,meubelstof,pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,52,171,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted oilcloth),toile pour ameublement,meubelstof (geverfde wasdoek),ell,821,0,...,...,158,7,0,0,"20,5",0,...,...,...,"5015,25",13494,60,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted oilcloth) per ell,toile pour ameublement,meubelstof (geverfde wasdoek) /el,guilders,...,...,...,...,201,10,0,...,...,...,2,398,0,1672,0,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted oilcloth),toile pour ameublement,meubelstof (geverfde wasdoek),guilders,470,0,369,186,...,...,...,0,327,340,0,35,0,270,649,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted oilcloth),toile pour ameublement,meubelstof (geverfde wasdoek),pieces,...,...,...,...,...,...,...,0,31,36,0,5,0,54,173,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted),toile pour ameublement,meubelstof (geverfd),pieces,7,38,...,...,12,0,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted),toile pour ameublement,meubelstof (geverfd),ell,3337,192,5728,20,10007,1046,7,367,1438,0,2880,390,"356,75",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted) per ell,toile pour ameublement,meubelstof (geverfd) /el,guilders,2123,105,3681,20,4755,523,5,221,895,0,1940,401,355,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
upholstery fabric (painted),toile pour ameublement,meubelstof (geverfd),guilders,133,464,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen cloth for mattresses,toile pour matelats,lijnwaad (voor matrassen),pieces,...,...,1,17,44,0,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen cloth for mattresses,toile pour matelats,lijnwaad (voor matrassen),ell,...,...,7782,958,8829,6616,0,21970,5706,0,10,37638,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen cloth for mattresses per ell,toile pour matelats,lijnwaad (voor matrassen) / el,guilders,...,...,1554,479,1541,1300,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tablecloths,toile pour nappes,lijnwaad (voor tafellakens),pieces,0,"165,62",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tablecloths,toile pour nappes,lijnwaad (voor tafellakens),ell,609,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tablecloths,toile pour nappes,lijnwaad (voor tafellakens),guilders,168,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tablecloth and napkins,toile pour nappes et serviettes,lijnwaad (voor tafellakens en servetten),pieces,...,...,55,"9271,33",364,"10299,25",33,34,18458,1488,...,...,...,2,"1249,75",0,4,1305,"107,5",151,"8929,25",232,3,8614,27,"6,75","8208,5",64,128,"7734,13",0,37,"7421,75",220,0,"6806,73",186,1,"7344,58",7,3,"3701,5",0,14,4521,45,3,"7729,75",18,"8,5",10143,172,13,"3503,38",49,128,"3074,33","92,5",41,"2712,75",78,"119,5","10966,5",272,62,6175,200,92,4618,65,131,"9922,25",37,1600,"6972,75",78,17,"9297,5",264,0,"6604,5",58,167,"6985,5",1,421,"7256,5","34,5",38,"6737,5",75,0,"4763,25",0,12,"6556,5",72
linen for tablecloth and napkins,toile pour nappes et serviettes,lijnwaad (voor tafellakens en servetten),ell,...,...,33702,88108,7602,114418,183,25167,"152953,5",7585,...,...,...,"6326,5","131437,5",10286,"4544,5","98926,25",186,2945,197140,19864,4310,6024,20627,6644,63396,9896,9213,34795,5688,"9593,5",5048,"3049,5",8781,12232,3339,11352,"9904,5",9612,8847,28759,3216,8714,2410,271,"4076,5","31597,5",11375,"4566,25","31063,5",15874,17053,14827,6652,10890,40,3484,7314,4985,6940,10826,376,170,8948,1361,8162,915,3242,2829,6089,828,32065,4755,907,56052,3811,"1476,5",25559,8439,507,2884,3838,267,25628,7344,3145,21919,20098,1064,16115,7767,2620,4164,"24558,5",756,160
linen for napkins,toile pour serviettes,lijnwaad (voor servetten) / el,guilders,...,...,...,...,1504,0,1612,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for napkins,toile pour serviettes,lijnwaad (voor servetten),pieces,41,2293,...,...,0,6,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for napkins,toile pour serviettes,lijnwaad (voor servetten),ell,19300,14637,6193,91258,3818,0,7160,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tobacco,toile pour tabac,tabakslinnen,ell,...,...,...,...,150,0,600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
linen for tobacco per ell,toile pour tabac,tabakslinnen / el,guilders,...,...,...,...,17,0,77,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fabric (for talliet),toile pour talliet,stof (voor talliet),pieces,532,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fabric (for talliet),toile pour talliet,stof (voor talliet),guilders,1972,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"linen (striped, slate blue and chequered)","toile rayée, ardoisée et rayonnée","lijnwaad (gestreept, lei-blauw en geruit)",pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,16,100,0,"117,25",179,18,374,350,"486,5","206,5",0,242,"100,5",14,685,221,3542,64,620,3360,380,495,829,5,"3191,5",993,9,3457,171,0,438,2680,0,"2953,5",5075,0,"4136,75",420,0,3826,27,0,"2620,5",25,0,2879,1060
"linen (striped, slate blue and chequered)","toile rayée, ardoisée et rayonnée","lijnwaad (gestreept, lei-blauw en geruit)",ell,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"8388,5",103269,16253,7926,123569,9162,"16678,5",85109,7324,17265,65349,6816,15577,64302,1803,4772,41855,5475,8162,50131,70691,12256,54098,20702,86775,59836,580,13438,77212,6394,4898,39108,1122,815,"56489,5",0,"3209,5",8708,2960,1533,4952,0,2232,7521,0,69,"3105,5",0
white pieces of cloth,toilettes de lin blanches,lijnwaad (witte overtrekken/tafellakens),pieces,"9168,17","2994,85","9025,67",10508,...,...,...,"17129,25","2531,75","46229,25","24451,68","4106,75","25826,33","2978,5","211,25",19112,"7528,38","2578,5","21194,5","10817,5",1274,"18031,5","5559,17","196,5","21097,5","4301,25","295,75","21341,75",4160,762,20348,"13572,25","1175,75","19146,75",6991,1457,"16585,5",3130,0,"19535,25","7813,75","68,5","19906,42",6955,"111,5","19209,25","4673,25",114,"17525,5","20319,54",1092,"11313,54","23119,96","865,33","20103,63","16055,63","614,13",8059,18264,904,"40747,5","15912,13","819,92","37359,08","18522,5","3541,5","33683,5",15604,257,38724,"17173,75",2694,"42650,75","17106,5",590,"32497,5",16822,3434,"20503,75","15709,75","1203,75","20081,75","19169,83","624,5","15686,5","27724,83",1264,"19663,5",32470,"426,75","16625,5","14572,5","267,5",16906,"17654,75","675,25",18996
white pieces of cloth,toilettes de lin blanches,lijnwaad (witte overtrekken/tafellakens),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,78528,546,11019,110086,1886,2747,53256,635,25,"100321,5",855,84,"221536,25","123,5",0,"72599,5",10045,18447,93443,1440,35703,"172278,5",528,1725,82302,908,600,"141815,25","791,5","1976,5","191427,25","3365,5",1606,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
grey pieces of cloth,toilettes de lin grises,lijnwaad (grijze overtrekken/tafellakens),pieces,4759,"738,5","3587,17","30,67",...,...,...,"4227,5","588,75",0,"3776,25",0,0,0,0,0,...,...,...,...,...,...,"363,63","9,25",0,1111,0,0,"749,25",4,0,355,0,0,803,"5,75",0,"936,25",0,0,694,0,0,"776,5",15,17,"962,5",1,4,"754,33",0,0,336,0,"1,5",274,0,1,111,"353,5",50,472,"88,5",481,281,0,172,"114,5",216,3,17,1057,0,"75,5",1,0,"33,5","182,5",0,3,"5,25",0,9,0,2,"6,25","2,5",0,"88,5",0,15,"214,75",0,48,209,0,280
