Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
iron anvils,enclumes de fer,ijzeren aambeelden,pieces,...,...,...,...,1,0,0,3,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
iron anvils,enclumes de fer,ijzeren aambeelden,guilders,...,...,...,...,8,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
ink (ordinary),encre commune,inkt (gewone),pounds,...,...,...,...,...,...,...,...,...,...,230,0,0,43,3,0,6,7,0,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,7,0,0,"6,13",0,0,0,0,0,70,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
ink (ordinary),encre commune,inkt (gewone),guilders,...,...,...,...,...,...,...,0,"112,75",0,62,"7,5",0,...,...,...,...,...,...,18,16,0,32,0,0,351,100,0,…,…,…,110,0,1,88,100,0,0,0,0,44,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
ink (Chinese),encre de la Chine,inkt (Chinese),pounds,...,...,...,...,2,0,0,...,...,...,10,2,0,6,0,0,"7,25",0,0,3,0,0,12,0,0,0,0,0,…,…,…,"18,25",0,0,0,0,0,"5,5",0,0,"7,13",0,0,"9,5",1,0,12,0,0,"0,44",0,2,"0,5",0,0,0,0,0,"1,25",0,0,22,0,0,0,"1,5",4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
ink (Chinese),encre de la Chine,inkt (Chinese),guilders,...,...,...,...,8,0,0,...,...,...,17,6,0,11,0,0,16,0,0,3,0,0,15,0,0,0,0,0,…,…,…,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"10,25",0,0,0,0,0,21,0,6,2,0,8,2,0,7,31,0,0,73,3,0,19,8,0,0,0,0,0,0,0
ink (printers),encre pour imprimeur,inkt (drukkers-),guilders,1894,239,...,...,517,"144,5",17,310,0,0,155,0,0,401,26,0,412,81,0,510,15,0,334,54,0,0,0,0,281,105,0,440,38,60,374,0,0,330,209,0,171,139,0,166,311,0,122,150,0,499,25,0,525,225,0,449,130,0,424,50,0,711,244,24,556,80,0,365,81,120,383,50,120,452,18,0,169,27,0,165,45,34,235,0,0,18,15,0,369,16,0,109,39,0,221,71,0
ink (printers),encre pour imprimeur,inkt (drukkers-),pounds,210,92,510,462,1071,279,34,3757,0,0,320,0,0,0,0,0,...,...,...,283,25,0,0,76,0,0,0,0,…,…,…,0,0,105,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
spelt,epeautre,spelt,last,"79,25",446,75,"441,96","92,75","275,75","153,85","65,25","449,88","102,74","55,5","446,1","72,4","160,63","509,44","112,25","221,97","699,48","191,9","308,75","597,92","169,75","442,56","797,98","192,31","175,17","289,29","311,83","188,2","392,17","241,25","244,35","310,19","120,63","78,07","41,17","130,62","174,93","72,5","167,23","104,97","105,2","196,29","69,54","123,05","247,02","84,61","76,55","245,19","69,88","116,56","266,1","89,52","542,74","252,08","152,18","479,59","229,02","121,24","434,65","183,54","210,71","410,92","222,32","71,13",140,235,153,77,214,"173,67",138,"227,58","307,58","132,71","208,33",178,"112,75",180,"126,83","363,33","152,17","196,29","596,42","173,21","300,75","376,17","164,08","122,83","145,08","178,67","91,46","35,79","135,08","98,83",49,"186,75"
spelt in sheaves,epeautre en jarbes,granen (alle soorten in schoven) - spelt,"""charée""","1,25","27,5","20,67","18,08","19,08","50,33","12,25",21,"43,75","4,5","27,5","59,25","10,5","36,17","55,5","1,5","29,25",38,"0,83","6,75","55,25","1,25",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
